group,dia,hora inici,hora final,resultat,metode
0,2001-04-15,2001-04-15 08:07:00,2001-04-15 08:07:00,FALSO,2.0
1,2001-04-15,2001-04-15 08:58:30,2001-04-15 13:05:00,FALSO,1.5
2,2001-04-15,2001-04-15 13:40:30,2001-04-15 14:07:00,VERDADERO,1.5
3,2001-04-15,2001-04-15 14:18:30,2001-04-15 14:28:30,FALSO,1.0
4,2001-04-15,2001-04-15 15:15:30,2001-04-15 15:30:30,FALSO,1.5
5,2001-04-26,2001-04-26 12:25:30,2001-04-26 12:32:30,FALSO,1.0
6,2001-04-26,2001-04-26 12:59:30,2001-04-26 13:11:00,VERDADERO,1.5
7,2001-12-13,2001-12-13 14:20:30,2001-12-13 14:37:00,VERDADERO,1.5
8,2004-07-16,2004-07-16 10:29:30,2004-07-16 10:37:30,FALSO,1.0
9,2004-07-16,2004-07-16 13:48:30,2004-07-16 14:03:00,VERDADERO,1.5
10,2004-07-20,2004-07-20 05:37:00,2004-07-20 05:38:00,FALSO,2.0
11,2004-07-20,2004-07-20 05:52:00,2004-07-20 05:53:00,FALSO,2.0
12,2004-07-20,2004-07-20 12:24:00,2004-07-20 12:31:00,VERDADERO,2.0
13,2004-07-20,2004-07-20 12:38:30,2004-07-20 12:50:30,FALSO,1.0
14,2004-08-14,2004-07-20 15:54:30,2004-08-14 05:42:00,FALSO,1.5
15,2004-08-14,2004-08-14 08:37:00,2004-08-14 08:37:00,FALSO,2.0
16,2004-08-14,2004-08-14 09:42:00,2004-08-14 09:48:00,FALSO,2.0
17,2004-08-14,2004-08-14 10:08:00,2004-08-14 10:10:00,FALSO,2.0
18,2004-08-14,2004-08-14 11:32:00,2004-08-14 11:47:30,FALSO,1.5
19,2004-08-14,2004-08-14 13:39:00,2004-08-14 13:43:00,VERDADERO,2.0
20,2004-08-15,2004-08-15 12:36:00,2004-08-15 12:47:00,VERDADERO,2.0
21,2005-05-27,2005-05-27 12:22:30,2005-05-27 12:25:30,VERDADERO,1.0
22,2005-09-09,2005-09-09 09:53:00,2005-09-09 10:08:00,VERDADERO,2.0
23,2005-09-09,2005-09-09 13:28:00,2005-09-09 14:25:00,FALSO,2.0
24,2005-09-09,2005-09-09 14:33:00,2005-09-09 14:47:00,FALSO,2.0
25,2005-09-09,2005-09-09 14:56:00,2005-09-09 15:15:00,FALSO,2.0
26,2005-09-09,2005-09-09 16:30:00,2005-09-09 16:45:00,FALSO,2.0
27,2005-09-09,2005-09-09 17:00:00,2005-09-09 17:02:00,FALSO,2.0
28,2006-04-27,2006-04-27 15:37:30,2006-04-27 15:51:30,VERDADERO,1.0
29,2006-12-05,2006-12-05 10:24:00,2006-12-05 10:56:00,VERDADERO,2.0
30,2011-08-09,2011-08-09 05:31:30,2011-08-09 05:40:30,FALSO,1.0
31,2011-08-09,2011-08-09 07:57:30,2011-08-09 08:15:00,VERDADERO,1.5
32,2011-09-08,2011-09-08 10:41:30,2011-09-08 10:54:30,FALSO,1.0
33,2011-09-08,2011-09-08 11:21:30,2011-09-08 11:32:30,FALSO,1.0
34,2011-09-08,2011-09-08 15:31:30,2011-09-08 15:38:30,VERDADERO,1.0
35,2011-09-24,2011-09-24 05:55:30,2011-09-24 06:16:30,FALSO,1.0
36,2011-09-24,2011-09-24 08:49:30,2011-09-24 08:54:30,FALSO,1.0
37,2011-09-24,2011-09-24 09:19:30,2011-09-24 09:52:00,VERDADERO,1.5
38,2011-09-24,2011-09-24 12:17:30,2011-09-24 12:30:30,FALSO,1.0
39,2011-09-24,2011-09-24 13:57:30,2011-09-24 14:09:30,FALSO,1.0
40,2011-09-24,2011-09-24 15:14:30,2011-09-24 15:29:30,FALSO,1.0
41,2013-05-13,2013-05-13 05:20:00,2013-05-13 05:41:00,FALSO,1.0
42,2013-05-13,2013-05-13 05:46:00,2013-05-13 06:00:00,FALSO,1.0
43,2013-05-13,2013-05-13 12:04:00,2013-05-13 12:13:00,FALSO,1.0
44,2013-05-13,2013-05-13 15:41:00,2013-05-13 15:58:00,VERDADERO,1.0
45,2013-05-13,2013-05-13 18:28:00,2013-05-13 18:40:00,FALSO,1.0
46,2013-10-25,2013-10-25 07:51:00,2013-10-25 07:57:00,VERDADERO,1.0
47,2013-10-25,2013-10-25 14:48:00,2013-10-25 14:55:00,VERDADERO,1.0
48,2013-10-25,2013-10-25 14:57:00,2013-10-25 15:00:00,VERDADERO,2.0
