dia;hora inici;hora final;resultat
2001-04-15;13:42;14:06;VERDADERO
2001-04-26;13:06;13:10;VERDADERO
2001-12-13;14:24;14:29;VERDADERO
2004-07-16;13:50;14:01;VERDADERO
2004-07-20;12:25;12:31;VERDADERO
2004-08-14;09:42;09:47;FALSO
2004-08-14;11:34;11:35;FALSO
2004-08-15;12:37;12:39;VERDADERO
2005-09-09;09:53;10:05;VERDADERO
2005-09-09;13:58;14:24;FALSO
2005-09-09;14:34;15:07;FALSO
2005-09-09;16:34;16:42;FALSO
2006-12-05;10:24;10:55;VERDADERO
2011-08-09;08:00;08:14;VERDADERO
2015-06-21;16:42;16:51;FALSO
2017-09-06;09:05;09:06;VERDADERO
2017-09-06;11:53;12:13;VERDADERO
2017-09-10;15:56;16:02;VERDADERO
