;dia;hora inici;hora final;resultat
0;2001-04-15;07:57:30.000;08:15:30.000;FALSO
1;2001-04-15;08:58:30.000;09:07:30.000;FALSO
2;2001-04-15;12:53:30.000;13:12:30.000;FALSO
3;2001-04-15;13:38:30.000;14:05:30.000;VERDADERO
4;2001-04-15;14:18:30.000;14:28:30.000;FALSO
5;2001-04-15;15:15:30.000;15:30:30.000;FALSO
6;2001-04-26;12:22:30.000;12:36:30.000;FALSO
7;2001-04-26;12:58:30.000;13:07:30.000;VERDADERO
8;2001-12-13;14:19:30.000;14:27:30.000;VERDADERO
9;2004-07-16;10:18:30.000;10:37:30.000;FALSO
10;2004-07-16;13:01:30.000;13:19:30.000;FALSO
11;2004-07-16;13:48:30.000;13:56:30.000;VERDADERO
12;2004-07-20;12:22:30.000;12:28:30.000;VERDADERO
13;2004-07-20;12:38:30.000;12:50:30.000;FALSO
14;2004-07-20;13:46:30.000;14:03:30.000;FALSO
15;2004-07-20;15:52:30.000;16:08:30.000;FALSO
16;2004-08-14;11:30:30.000;11:57:30.000;FALSO
17;2004-08-15;12:34:30.000;12:42:30.000;VERDADERO
18;2004-08-15;13:29:30.000;13:47:30.000;FALSO
19;2005-05-27;12:22:30.000;12:28:30.000;VERDADERO
20;2005-09-09;09:50:30.000;10:03:30.000;VERDADERO
21;2005-09-09;13:55:30.000;14:09:30.000;FALSO
22;2006-04-27;12:39:30.000;13:00:30.000;FALSO
23;2006-04-27;15:24:30.000;15:53:30.000;VERDADERO
24;2011-08-09;05:31:30.000;05:40:30.000;FALSO
25;2011-08-09;07:57:30.000;08:14:30.000;VERDADERO
26;2011-08-09;12:14:30.000;12:26:30.000;FALSO
27;2011-08-09;17:47:30.000;18:06:30.000;FALSO
28;2011-09-08;10:41:30.000;10:54:30.000;FALSO
29;2011-09-08;11:21:30.000;11:32:30.000;FALSO
30;2011-09-08;13:16:30.000;13:32:30.000;FALSO
31;2011-09-08;15:31:30.000;15:46:30.000;VERDADERO
32;2011-09-24;05:55:30.000;06:16:30.000;FALSO
33;2011-09-24;07:18:30.000;07:35:30.000;FALSO
34;2011-09-24;08:49:30.000;09:02:30.000;FALSO
